Train,Valid,Test
0.526,0.546,0.519
0.558,0.569,0.565
0.561,0.612,0.577
0.592,0.627,0.596
0.598,0.622,0.602
0.607,0.632,0.609
0.610,0.642,0.618
0.632,0.642,0.622
0.636,0.622,0.632
0.652,0.652,0.644
0.653,0.687,0.655
0.673,0.682,0.679
0.671,0.669,0.670
0.661,0.659,0.657
0.689,0.714,0.693
0.691,0.712,0.695
0.687,0.679,0.680
0.697,0.674,0.699
0.719,0.712,0.721
0.691,0.674,0.692
0.713,0.684,0.700
0.717,0.727,0.719
0.697,0.702,0.703
0.711,0.714,0.712
0.734,0.702,0.729
0.724,0.707,0.726
0.718,0.674,0.710
0.741,0.754,0.735
0.727,0.737,0.725
0.721,0.714,0.726
0.722,0.724,0.715
0.733,0.724,0.732
0.731,0.734,0.735
0.730,0.709,0.730
0.738,0.709,0.736
0.732,0.722,0.733
0.724,0.702,0.728
0.738,0.739,0.735
0.751,0.729,0.741
0.727,0.714,0.723
0.728,0.719,0.731
0.743,0.727,0.740
0.746,0.744,0.741
0.747,0.742,0.741
0.752,0.769,0.757
0.739,0.717,0.737
0.748,0.729,0.757
0.744,0.737,0.735
0.748,0.762,0.753
0.757,0.767,0.759
0.760,0.762,0.754
0.753,0.767,0.760
0.758,0.764,0.757
0.751,0.729,0.759
0.753,0.754,0.753
0.762,0.749,0.762
0.757,0.744,0.763
0.760,0.729,0.765
0.766,0.749,0.757
0.756,0.732,0.756
0.760,0.752,0.758
0.763,0.774,0.767
0.766,0.757,0.763
0.765,0.762,0.763
0.760,0.777,0.765
0.766,0.749,0.770
0.763,0.734,0.762
0.762,0.757,0.767
0.760,0.742,0.763
0.769,0.782,0.765
0.768,0.747,0.764
0.766,0.762,0.766
0.767,0.752,0.766
0.772,0.777,0.771
0.772,0.762,0.773
0.772,0.762,0.763
0.775,0.774,0.773
0.770,0.744,0.775
0.772,0.762,0.771
0.773,0.759,0.765
0.771,0.762,0.775
0.767,0.742,0.776
0.775,0.742,0.766
0.778,0.749,0.770
0.777,0.752,0.766
0.772,0.772,0.775
0.770,0.767,0.768
0.773,0.764,0.777
0.768,0.749,0.770
0.768,0.767,0.778
0.770,0.754,0.772
0.781,0.777,0.774
0.773,0.749,0.775
0.772,0.757,0.781
0.776,0.757,0.777
0.774,0.747,0.778
0.776,0.759,0.777
0.777,0.764,0.773
0.780,0.759,0.781
0.770,0.752,0.773
0.782,0.764,0.777
0.775,0.792,0.778
0.779,0.784,0.781
0.775,0.777,0.774
0.775,0.779,0.776
0.777,0.767,0.782
0.778,0.794,0.781
0.772,0.792,0.773
0.778,0.769,0.779
0.775,0.774,0.779
0.779,0.787,0.783
0.786,0.799,0.784
0.778,0.762,0.774
